data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,variazione_isolamento_domiciliare,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc,np_log
2021-07-22T17:00:00,1234,158,1392,53474,54866,3558,5057,4119607,127920,,,4302393,75555232,30492144.0,12.0,4148170.0,154223.0,53639886.0,21915346.0,0.0,38.0,38.0,3520.0,1483.0,15.0,219778.0,56789.0,11.35,2.54,2.3,8.9,0.0,6.93,3.7038929536325447
2021-07-23T17:00:00,1304,155,1459,57293,58752,3886,5143,4120846,127937,,,4307535,75792867,30546191.0,10.0,4153065.0,154470.0,53739841.0,22053026.0,-3.0,70.0,67.0,3819.0,1239.0,17.0,237635.0,54047.0,10.62,2.48,2.16,9.52,-1.9,7.08,3.71121652432109
2021-07-24T17:00:00,1340,172,1512,61011,62523,3771,5140,4122208,127942,,,4312673,76051796,30606618.0,21.0,4157876.0,154797.0,53838808.0,22212988.0,17.0,36.0,53.0,3718.0,1362.0,5.0,258929.0,60427.0,11.38,2.42,1.99,8.51,10.97,6.42,3.710963118995276
2021-07-25T17:00:00,1392,178,1570,64687,66257,3734,4743,4123209,127949,,,4317415,76228449,30656190.0,16.0,4162381.0,155034.0,53914872.0,22313577.0,6.0,52.0,58.0,3676.0,1001.0,7.0,176653.0,49572.0,11.34,2.37,2.68,9.57,3.49,5.97,3.6760531246518715
2021-07-26T17:00:00,1512,182,1694,66542,68236,1979,3117,4124323,127971,,,4320530,76316696,30680764.0,11.0,4165378.0,155152.0,53963263.0,22353433.0,4.0,120.0,124.0,1855.0,1114.0,22.0,88247.0,24574.0,10.74,2.48,3.53,12.68,2.25,2.99,3.49373680227684
2021-07-27T17:00:00,1611,189,1800,68510,70310,2074,4522,4126741,127995,,,4325046,76558586,30735682.0,16.0,4169397.0,155649.0,54064580.0,22494006.0,7.0,99.0,106.0,1968.0,2418.0,24.0,241890.0,54918.0,10.5,2.56,1.87,8.23,3.85,3.04,3.6553305580093407
2021-07-28T17:00:00,1685,183,1868,72293,74161,3851,5696,4128568,128010,,,4330739,76807058,30794194.0,9.0,4175065.0,155674.0,54187112.0,22619946.0,-6.0,74.0,68.0,3783.0,1827.0,15.0,248472.0,58512.0,9.8,2.52,2.29,9.73,-3.17,5.48,3.7555699806288
2021-07-29T17:00:00,1730,194,1924,76560,78484,4323,6171,4130393,128029,,,4336906,77031848,30853645.0,20.0,4180880.0,156026.0,54294154.0,22737694.0,11.0,45.0,56.0,4267.0,1825.0,19.0,224790.0,59451.0,10.08,2.45,2.75,10.38,6.01,5.83,3.7903555464143865
2021-07-30T17:00:00,1812,201,2013,80949,82962,4478,6619,4132510,128047,,,4343519,77279334,30909526.0,20.0,4186881.0,156638.0,54404275.0,22875059.0,7.0,82.0,89.0,4389.0,2117.0,18.0,247486.0,55881.0,9.99,2.43,2.67,11.84,3.61,5.71,3.8207923810882036
2021-07-31T17:00:00,1851,214,2065,85220,87285,4323,6513,4134680,128063,,,4350028,77544194,30971078.0,25.0,4193029.0,156999.0,54497272.0,23046922.0,13.0,39.0,52.0,4271.0,2170.0,16.0,264860.0,61552.0,10.36,2.37,2.46,10.58,6.47,5.21,3.8137810781740824
2021-08-01T17:00:00,1954,230,2184,89166,91350,4065,5321,4135930,128065,,,4355348,77711955,31019713.0,22.0,4198138.0,157210.0,54569773.0,23142182.0,16.0,103.0,119.0,3946.0,1250.0,2.0,167761.0,48635.0,10.53,2.39,3.17,10.94,7.48,4.66,3.7259932589247224
2021-08-02T17:00:00,2070,249,2319,90698,93017,1667,3190,4137428,128088,,,4358533,77795178,31042444.0,25.0,4201223.0,157310.0,54612288.0,23182890.0,19.0,116.0,135.0,1532.0,1498.0,23.0,83223.0,22731.0,10.74,2.49,3.83,14.03,8.26,1.82,3.503790683057181
2021-08-03T17:00:00,2196,258,2454,91762,94216,1199,4845,4141043,128115,,,4363374,78004897,31092939.0,26.0,4205645.0,157729.0,54704552.0,23300345.0,9.0,126.0,135.0,1064.0,3615.0,27.0,209719.0,50495.0,10.51,2.6,2.31,9.6,3.61,1.29,3.6852937813867843
2021-08-04T17:00:00,2309,260,2569,94651,97220,3004,6596,4144608,128136,,,4369964,78220645,31146880.0,14.0,4211887.0,158077.0,54812163.0,23408482.0,2.0,113.0,115.0,2889.0,3565.0,21.0,215748.0,53941.0,10.12,2.64,3.06,12.23,0.78,3.19,3.8192806469724814
2021-08-05T17:00:00,2409,268,2677,98369,101046,3826,7230,4147979,128163,,,4377188,78432872,31199139.0,25.0,4218803.0,158385.0,54910966.0,23521906.0,8.0,100.0,108.0,3718.0,3371.0,27.0,212227.0,52259.0,10.01,2.65,3.41,13.83,3.08,3.94,3.859138297294531
2021-08-06T17:00:00,2449,277,2726,101959,104685,3639,6599,4150915,128187,,,4383787,78677529,31256084.0,32.0,4225227.0,158560.0,55012203.0,23665326.0,9.0,40.0,49.0,3590.0,2936.0,24.0,244657.0,56945.0,10.16,2.6,2.7,11.59,3.36,3.6,3.8194781283621224
2021-08-07T17:00:00,2533,288,2821,105714,108535,3850,6902,4153940,128209,,,4390684,78971392,31327315.0,29.0,4231853.0,158831.0,55108789.0,23862603.0,11.0,84.0,95.0,3755.0,3025.0,22.0,293863.0,71231.0,10.21,2.6,2.35,9.69,3.97,3.68,3.838974954955468
2021-08-08T17:00:00,2631,299,2930,109336,112266,3731,5735,4155931,128220,,,4396417,79174903,31385026.0,24.0,4237325.0,159092.0,55182257.0,23992646.0,11.0,98.0,109.0,3622.0,1991.0,11.0,203511.0,57711.0,10.2,2.61,2.82,9.94,3.82,3.44,3.7585334222372864
2021-08-09T17:00:00,2786,323,3109,111746,114855,2589,4200,4157520,128242,,,4400617,79277767,31411098.0,39.0,4241413.0,159204.0,55225285.0,24052482.0,24.0,155.0,179.0,2410.0,1589.0,22.0,102864.0,26072.0,10.39,2.71,4.08,16.11,8.03,2.31,3.6232492903979003
2021-08-10T17:00:00,2880,322,3202,113121,116323,1468,5636,4161645,128273,,,4406241,79519533,31467678.0,26.0,4246602.0,159639.0,55314248.0,24205285.0,-1.0,94.0,93.0,1375.0,4125.0,31.0,241766.0,56580.0,10.06,2.75,2.33,9.96,-0.31,1.28,3.750970984437319
2021-08-11T17:00:00,2948,337,3285,115476,118761,2438,6968,4166095,128304,,,4413162,79749572,31523180.0,40.0,4253264.0,159898.0,55419637.0,24329935.0,15.0,68.0,83.0,2355.0,4450.0,31.0,230039.0,55502.0,10.26,2.77,3.03,12.55,4.66,2.1,3.8431081419996067
2021-08-12T17:00:00,2975,352,3327,117958,121285,2524,7270,4170810,128334,,,4420429,79966541,31576587.0,37.0,4260336.0,160093.0,55513139.0,24453402.0,15.0,27.0,42.0,2482.0,4715.0,30.0,216969.0,53407.0,10.58,2.74,3.35,13.61,4.45,2.13,3.8615344108590377
2021-08-13T17:00:00,3033,369,3402,120848,124250,2965,7409,4175198,128379,,,4427827,80192027,31631342.0,35.0,4267344.0,160483.0,55608773.0,24583254.0,17.0,58.0,75.0,2890.0,4388.0,45.0,225486.0,54755.0,10.85,2.74,3.29,13.53,4.83,2.44,3.86975959478241
2021-08-14T17:00:00,3101,372,3473,122993,126466,2216,7188,4180129,128413,,,4435008,80446033,31691084.0,37.0,4274315.0,160693.0,55698982.0,24747051.0,3.0,68.0,71.0,2145.0,4931.0,34.0,254006.0,59742.0,10.71,2.75,2.83,12.03,0.81,1.78,3.856608068436936
2021-08-15T17:00:00,3162,384,3546,124982,128528,2062,5664,4183709,128432,,,4440669,80606903,31732915.0,29.0,4279835.0,160834.0,55763772.0,24843131.0,12.0,61.0,73.0,1989.0,3580.0,19.0,160870.0,41831.0,10.83,2.76,3.52,13.54,3.23,1.63,3.7531232446817127
2021-08-16T17:00:00,3334,404,3738,124958,128696,168,3674,4187186,128456,,,4444338,80680924,31753974.0,32.0,4283503.0,160835.0,55801186.0,24879738.0,20.0,172.0,192.0,-24.0,3477.0,24.0,74021.0,21059.0,10.81,2.9,4.96,17.45,5.21,0.13,3.5651391519697895
2021-08-17T17:00:00,3472,423,3895,125221,129116,420,5273,4191980,128510,,,4449606,80918997,31805240.0,49.0,4288619.0,160987.0,55887829.0,25031168.0,19.0,138.0,157.0,263.0,4794.0,54.0,238073.0,51266.0,10.86,3.02,2.21,10.29,4.7,0.33,3.722057771331464
2021-08-18T17:00:00,3559,442,4001,124781,128782,-334,7162,4199404,128579,,,4456765,81145420,31861792.0,50.0,4295456.0,161309.0,55987914.0,25157506.0,19.0,87.0,106.0,-440.0,7424.0,69.0,226423.0,56552.0,11.05,3.11,3.16,12.66,4.49,-0.26,3.855034316675884
2021-08-19T17:00:00,3627,460,4087,126415,130502,1720,7260,4204869,128634,,,4464005,81351951,31914369.0,40.0,4302436.0,161569.0,56076867.0,25275084.0,18.0,68.0,86.0,1634.0,5465.0,55.0,206531.0,52577.0,11.26,3.13,3.52,13.81,4.07,1.34,3.8609366207000937
2021-08-20T17:00:00,3692,455,4147,127315,131462,960,7224,4211080,128683,,,4471225,81572607,31964840.0,26.0,4309435.0,161790.0,56162599.0,25410008.0,-5.0,65.0,60.0,900.0,6211.0,49.0,220656.0,50471.0,10.97,3.15,3.27,14.31,-1.09,0.74,3.8587777373054495
2021-08-21T17:00:00,3733,466,4199,129222,133421,1959,7470,4216542,128728,,,4478691,81827825,32024485.0,40.0,4316649.0,162042.0,56252852.0,25574973.0,11.0,41.0,52.0,1907.0,5462.0,45.0,255218.0,59645.0,11.1,3.15,2.93,12.52,2.42,1.49,3.873320601815399
2021-08-22T17:00:00,3767,472,4239,130699,134938,1517,5923,4220924,128751,,,4484613,82003364,32072928.0,33.0,4322377.0,162236.0,56322084.0,25681280.0,6.0,34.0,40.0,1477.0,4382.0,23.0,175539.0,48443.0,11.13,3.14,3.37,12.23,1.29,1.14,3.7725417326409434
2021-08-23T17:00:00,3928,485,4413,131142,135555,617,4168,4224429,128795,,,4488779,82104705,32098419.0,45.0,4326430.0,162349.0,56364064.0,25740641.0,13.0,161.0,174.0,443.0,3505.0,44.0,101341.0,25491.0,10.99,3.26,4.11,16.35,2.75,0.46,3.619927710291468
2021-08-24T17:00:00,4036,504,4540,130785,135325,-230,6076,4230677,128855,,,4494857,82370951,32155807.0,46.0,4332200.0,162657.0,56461924.0,25909027.0,19.0,108.0,127.0,-357.0,6248.0,60.0,266246.0,57388.0,11.1,3.35,2.28,10.59,3.92,-0.17,3.7836177651907485
2021-08-25T17:00:00,4023,499,4522,131202,135724,399,7548,4237758,128914,,,4502396,82615371,32214570.0,34.0,4339465.0,162931.0,56574161.0,26041210.0,-5.0,-13.0,-18.0,417.0,7081.0,59.0,244420.0,58763.0,11.03,3.33,3.09,12.84,-0.99,0.29,3.8778318914928938
2021-08-26T17:00:00,4059,503,4562,132495,137057,1333,7221,4243597,128957,,,4509611,82836243,32268573.0,38.0,4346619.0,162992.0,56670393.0,26165850.0,4.0,36.0,40.0,1293.0,5839.0,43.0,220872.0,54003.0,11.03,3.33,3.27,13.37,0.8,0.98,3.8585973449946924
2021-08-27T17:00:00,4114,511,4625,133493,138118,1061,7826,4250314,129002,,,4517434,83101723,32326275.0,42.0,4354207.0,163227.0,56770912.0,26330811.0,8.0,55.0,63.0,998.0,6717.0,45.0,265480.0,57702.0,11.05,3.35,2.95,13.56,1.59,0.77,3.8935398435646613
2021-08-28T17:00:00,4111,511,4622,134806,139428,1310,6860,4255808,129056,,,4524292,83395187,32388723.0,42.0,4360590.0,163702.0,56866439.0,26528748.0,0.0,-3.0,-3.0,1313.0,5494.0,54.0,293464.0,62448.0,11.06,3.31,2.34,10.99,0.0,0.95,3.8363241157067516
2021-08-29T17:00:00,4133,525,4658,136389,141047,1619,5959,4260106,129093,,,4530246,83618273,32444844.0,44.0,4366367.0,163879.0,56947693.0,26670580.0,14.0,22.0,36.0,1583.0,4298.0,37.0,223086.0,56121.0,11.27,3.3,2.67,10.62,2.74,1.16,3.775173385424787
2021-08-30T17:00:00,4264,548,4812,136581,141393,346,4257,4263960,129146,,,4534499,83728076,32474220.0,50.0,4370535.0,163964.0,56997959.0,26730117.0,23.0,131.0,154.0,192.0,3854.0,53.0,109803.0,29376.0,11.39,3.4,3.88,14.49,4.38,0.25,3.6291036501771363
2021-08-31T17:00:00,4252,544,4796,133129,137925,-3468,5498,4272845,129221,,,4539991,84035719,32537606.0,49.0,4375509.0,164482.0,57111626.0,26924093.0,-4.0,-12.0,-16.0,-3452.0,8885.0,75.0,307643.0,63386.0,11.34,3.48,1.79,8.67,-0.73,-2.45,3.7402047355074495
2021-09-01T17:00:00,4231,540,4771,131807,136578,-1347,6503,4280619,129290,,,4546487,84339436,32605657.0,40.0,4381723.0,164764.0,57232920.0,27106516.0,-4.0,-21.0,-25.0,-1322.0,7774.0,69.0,303717.0,68051.0,11.32,3.49,2.14,9.56,-0.74,-0.98,3.8131137540078988
2021-09-02T17:00:00,4205,555,4760,132138,136898,320,6761,4286991,129352,,,4553241,84632503,32673083.0,49.0,4388042.0,165199.0,57350136.0,27282367.0,15.0,-26.0,-11.0,331.0,6372.0,62.0,293067.0,67426.0,11.66,3.48,2.31,10.03,2.78,0.23,3.830010935936118
2021-09-03T17:00:00,4164,556,4720,132305,137025,127,6735,4293535,129410,,,4559970,84928897,32736593.0,42.0,4394591.0,165379.0,57475534.0,27453363.0,1.0,-41.0,-40.0,167.0,6544.0,58.0,296394.0,63510.0,11.78,3.44,2.27,10.6,0.18,0.09,3.8283376000590046
2021-09-04T17:00:00,4204,569,4773,132266,137039,14,6157,4299621,129466,,,4566126,85260247,32807288.0,53.0,4400397.0,165729.0,57568980.0,27691267.0,13.0,40.0,53.0,-39.0,6086.0,56.0,331350.0,70695.0,11.92,3.48,1.86,8.71,2.34,0.01,3.7893691535914815
2021-09-05T17:00:00,4216,572,4788,131914,136702,-337,5315,4305223,129515,,,4571440,85520003,32868817.0,37.0,4405560.0,165880.0,57647826.0,27872177.0,3.0,12.0,15.0,-352.0,5602.0,49.0,259756.0,61529.0,11.95,3.5,2.05,8.64,0.53,-0.25,3.7255032688593155
2021-09-06T17:00:00,4302,570,4872,131148,136020,-682,3361,4309200,129567,,,4574787,85654396,32897713.0,32.0,4408937.0,165850.0,57696131.0,27958265.0,-2.0,86.0,84.0,-766.0,3977.0,52.0,134393.0,28896.0,11.7,3.58,2.5,11.63,-0.35,-0.5,3.5264685124694775
2021-09-07T17:00:00,4307,563,4870,128917,133787,-2233,4720,4316077,129638,,,4579502,85973261,32963747.0,40.0,4413189.0,166313.0,57802636.0,28170625.0,-7.0,5.0,-2.0,-2231.0,6877.0,71.0,318865.0,66034.0,11.56,3.64,1.48,7.15,-1.23,-1.64,3.673941998634088
2021-09-08T17:00:00,4235,564,4799,126782,131581,-2206,5923,4324135,129707,,,4585423,86275241,33029381.0,38.0,4418912.0,166511.0,57934218.0,28341023.0,1.0,-72.0,-71.0,-2135.0,8058.0,69.0,301980.0,65634.0,11.75,3.65,1.96,9.02,0.18,-1.65,3.7725417326409434
2021-09-09T17:00:00,4230,558,4788,125130,129918,-1663,5522,4331257,129766,,,4590941,86566709,33089916.0,38.0,4424247.0,166694.0,58047899.0,28518810.0,-6.0,-5.0,-11.0,-1652.0,7122.0,59.0,291468.0,60535.0,11.65,3.69,1.89,9.12,-1.06,-1.26,3.7420964023032446
2021-09-10T17:00:00,4164,548,4712,123777,128489,-1429,5621,4338241,129828,,,4596558,86852737,33147401.0,37.0,4429624.0,166934.0,58154366.0,28698371.0,-10.0,-66.0,-76.0,-1353.0,6984.0,62.0,286028.0,57485.0,11.63,3.67,1.97,9.78,-1.79,-1.1,3.7498135852929377
2021-09-11T17:00:00,4117,547,4664,122962,127626,-863,5193,4344238,129885,,,4601749,87186478,33214819.0,40.0,4434566.0,167183.0,58258247.0,28928231.0,-1.0,-47.0,-48.0,-815.0,5997.0,57.0,333741.0,67418.0,11.73,3.65,1.56,7.7,-0.18,-0.67,3.715418322595056
2021-09-12T17:00:00,4113,559,4672,122662,127334,-292,4664,4349160,129919,,,4606413,87453836,33273371.0,36.0,4439082.0,167331.0,58348470.0,29105366.0,12.0,-4.0,8.0,-300.0,4922.0,34.0,267358.0,58552.0,11.96,3.67,1.74,7.97,2.19,-0.23,3.668758541750958
2021-09-13T17:00:00,4200,563,4763,121141,125904,-1430,2800,4353346,129955,,,4609205,87573881,33300869.0,35.0,4441836.0,167369.0,58398719.0,29175162.0,4.0,87.0,91.0,-1521.0,4186.0,36.0,120045.0,27498.0,11.82,3.78,2.33,10.18,0.72,-1.12,3.4471580313422194
2021-09-14T17:00:00,4165,554,4719,117621,122340,-3564,4021,4360847,130027,,,4613214,87892474,33365842.0,29.0,4445492.0,167722.0,58507212.0,29385262.0,-9.0,-35.0,-44.0,-3520.0,7501.0,72.0,318593.0,64973.0,11.74,3.86,1.26,6.19,-1.6,-2.83,3.604334073102911
2021-09-15T17:00:00,4128,540,4668,113819,118487,-3853,4830,4369453,130100,,,4618040,88210140,33423482.0,32.0,4450037.0,168003.0,58633294.0,29576846.0,-14.0,-37.0,-51.0,-3802.0,8606.0,73.0,317666.0,57640.0,11.57,3.94,1.52,8.38,-2.53,-3.15,3.683947130751512
2021-09-16T17:00:00,4018,531,4549,111793,116342,-2145,5117,4376646,130167,,,4623155,88516407,33481704.0,30.0,4454844.0,168311.0,58745788.0,29770619.0,-9.0,-110.0,-119.0,-2026.0,7193.0,67.0,306267.0,58222.0,11.67,3.91,1.67,8.79,-1.67,-1.81,3.7090154169721172
2021-09-17T17:00:00,3989,525,4514,109757,114271,-2071,4552,4383195,130233,,,4627699,88800986,33536784.0,34.0,4459202.0,168497.0,58845032.0,29955954.0,-6.0,-29.0,-35.0,-2036.0,6549.0,66.0,284579.0,55080.0,11.63,3.95,1.6,8.26,-1.13,-1.78,3.6582022533870147
2021-09-18T17:00:00,3958,519,4477,108563,113040,-1231,4578,4388951,130284,,,4632275,89156919,33604895.0,31.0,4463482.0,168793.0,58960530.0,30196389.0,-6.0,-31.0,-37.0,-1194.0,5756.0,51.0,355933.0,68111.0,11.59,3.96,1.29,6.72,-1.14,-1.08,3.660675788338524
2021-09-19T17:00:00,3929,530,4459,109077,113536,496,3838,4392265,130310,,,4636111,89420490,33659395.0,40.0,4467105.0,169006.0,59041923.0,30378567.0,11.0,-29.0,-18.0,514.0,3314.0,26.0,263571.0,54500.0,11.89,3.93,1.46,7.04,2.12,0.44,3.5841049703994527
2021-09-20T17:00:00,3982,523,4505,108009,112514,-1022,2407,4395648,130354,,,4638516,89542931,33686794.0,21.0,4469422.0,169094.0,59091430.0,30451501.0,-7.0,53.0,46.0,-1068.0,3383.0,44.0,122441.0,27399.0,11.61,4.0,1.97,8.78,-1.32,-0.9,3.38147609027503
2021-09-21T17:00:00,3937,516,4453,105060,109513,-3001,3377,4401956,130421,,,4641890,89873206,33746053.0,38.0,4472447.0,169443.0,59203516.0,30669690.0,-7.0,-45.0,-52.0,-2949.0,6308.0,67.0,330275.0,59259.0,11.59,4.07,1.02,5.7,-1.34,-2.67,3.5285310606354114
2021-09-22T17:00:00,3796,513,4309,102250,106559,-2954,3970,4408806,130488,,,4645853,90166078,33802623.0,40.0,4476186.0,169667.0,59327279.0,30838799.0,-3.0,-141.0,-144.0,-2810.0,6850.0,67.0,292872.0,56570.0,11.91,4.04,1.36,7.02,-0.58,-2.7,3.598790506763115
2021-09-23T17:00:00,3650,505,4155,100928,105083,-1476,4061,4414272,130551,,,4649906,90477853,33860806.0,30.0,4479995.0,169911.0,59440447.0,31037406.0,-8.0,-146.0,-154.0,-1322.0,5466.0,63.0,311775.0,58183.0,12.15,3.95,1.3,6.98,-1.56,-1.39,3.608632989490037
2021-09-24T17:00:00,3553,489,4042,99514,103556,-1527,3797,4419537,130603,,,4653696,90765140,33916870.0,35.0,4483531.0,170165.0,59546939.0,31218201.0,-16.0,-97.0,-113.0,-1414.0,5265.0,52.0,287287.0,56064.0,12.1,3.9,1.32,6.77,-3.17,-1.45,3.579440597139797
2021-09-25T17:00:00,3497,481,3978,98596,102574,-982,3525,4423988,130653,,,4657215,91122631,33983005.0,26.0,4486819.0,170396.0,59652090.0,31470541.0,-8.0,-56.0,-64.0,-918.0,4451.0,50.0,357491.0,66135.0,12.09,3.88,0.99,5.33,-1.64,-0.95,3.5471591213274176
2021-09-26T17:00:00,3435,483,3918,98326,102244,-330,3099,4427373,130697,,,4660314,91398852,34041736.0,22.0,4489787.0,170527.0,59739534.0,31659318.0,2.0,-62.0,-60.0,-270.0,3385.0,44.0,276221.0,58731.0,12.33,3.83,1.12,5.28,0.42,-0.32,3.491221576239283
2021-09-27T17:00:00,3487,488,3975,97105,101080,-1164,1772,4430265,130742,,,4662087,91522929,34067918.0,29.0,4491477.0,170610.0,59787712.0,31735217.0,5.0,52.0,57.0,-1221.0,2892.0,45.0,124077.0,26182.0,12.28,3.93,1.43,6.77,1.04,-1.14,3.248463717551032
2021-09-28T17:00:00,3418,459,3877,94995,98872,-2208,2985,4435370,130807,,,4665049,91861354,34132266.0,19.0,4494108.0,170941.0,59905325.0,31956029.0,-29.0,-69.0,-98.0,-2110.0,5105.0,65.0,338425.0,64348.0,11.84,3.92,0.88,4.64,-5.94,-2.18,3.4749443354653877
2021-09-29T17:00:00,3317,450,3767,92212,95979,-2893,3212,4441412,130870,,,4668261,92156806,34191218.0,23.0,4497094.0,171167.0,60028656.0,32128150.0,-9.0,-101.0,-110.0,-2783.0,6042.0,63.0,295452.0,58952.0,11.95,3.92,1.09,5.45,-1.96,-2.93,3.5067755366066433
2021-09-30T17:00:00,3198,440,3638,90670,94308,-1671,3804,4447126,130921,,,4672355,92465642,34253561.0,26.0,4500976.0,171379.0,60150908.0,32314734.0,-10.0,-119.0,-129.0,-1542.0,5714.0,51.0,308836.0,62343.0,12.09,3.86,1.23,6.1,-2.22,-1.74,3.5802405082653763
2021-10-01T17:00:00,3118,429,3547,90105,93652,-656,3405,4451133,130973,,,4675758,92759111,34310886.0,20.0,4504170.0,171588.0,60259807.0,32499304.0,-11.0,-80.0,-91.0,-565.0,4007.0,52.0,293469.0,57325.0,12.09,3.79,1.16,5.94,-2.5,-0.7,3.532117116248804
2021-10-02T17:00:00,3057,432,3489,89260,92749,-903,3312,4455320,130998,,,4679067,93115007,34378233.0,27.0,4507291.0,171776.0,60372560.0,32742447.0,3.0,-61.0,-58.0,-845.0,4187.0,25.0,355896.0,67347.0,12.38,3.76,0.93,4.92,0.7,-0.96,3.5200903281128424
2021-10-03T17:00:00,2991,431,3422,89545,92967,218,2968,4458036,131031,,,4682034,93400967,34432558.0,21.0,4510102.0,171932.0,60459617.0,32941350.0,-1.0,-66.0,-67.0,285.0,2716.0,33.0,285960.0,54325.0,12.59,3.68,1.04,5.46,-0.23,0.24,3.4724638966069894
2021-10-04T17:00:00,3032,437,3469,88627,92096,-871,1612,4460482,131068,,,4683646,93523181,34458627.0,22.0,4511622.0,172024.0,60510390.0,33012791.0,6.0,41.0,47.0,-918.0,2446.0,37.0,122214.0,26069.0,12.6,3.77,1.32,6.18,1.39,-0.94,3.2073650374690716
2021-10-05T17:00:00,2968,433,3401,86898,90299,-1797,2466,4464692,131118,,,4686109,93845463,34515695.0,18.0,4513785.0,172324.0,60615507.0,33229956.0,-4.0,-64.0,-68.0,-1729.0,4210.0,50.0,322282.0,57068.0,12.73,3.77,0.77,4.32,-0.92,-1.95,3.3919930722597127
2021-10-06T17:00:00,2872,415,3287,84960,88247,-2052,3235,4469937,131157,,,4689341,94147236,34573023.0,24.0,4516730.0,172611.0,60748686.0,33398550.0,-18.0,-96.0,-114.0,-1938.0,5245.0,39.0,301773.0,57328.0,12.63,3.72,1.07,5.64,-4.16,-2.27,3.5098742850047193
2021-10-07T17:00:00,2824,403,3227,83946,87173,-1074,2938,4473903,131198,,,4692274,94444592,34626978.0,24.0,4519532.0,172742.0,60863483.0,33581109.0,-12.0,-48.0,-60.0,-1014.0,3966.0,41.0,297356.0,53955.0,12.49,3.7,0.99,5.45,-2.89,-1.22,3.4680517914542377
2021-10-08T17:00:00,2742,383,3125,82801,85926,-1247,3023,4478137,131228,,,4695291,94716158,34679503.0,17.0,4522420.0,172871.0,60971361.0,33744797.0,-20.0,-82.0,-102.0,-1145.0,4234.0,30.0,271566.0,52525.0,12.26,3.64,1.11,5.76,-4.96,-1.43,3.480438147177817
2021-10-09T17:00:00,2692,367,3059,82243,85302,-624,2748,4481462,131274,,,4698038,95061127,34739517.0,16.0,4524928.0,173110.0,61075375.0,33985752.0,-16.0,-50.0,-66.0,-558.0,3325.0,46.0,344969.0,60014.0,12.0,3.59,0.8,4.58,-4.18,-0.73,3.4390167283875126
2021-10-10T17:00:00,2651,364,3015,81793,84808,-494,2278,4484207,131301,,,4700316,95331171,34789334.0,13.0,4527045.0,173271.0,61154936.0,34176235.0,-3.0,-41.0,-44.0,-450.0,2745.0,27.0,270044.0,49817.0,12.07,3.56,0.84,4.57,-0.82,-0.58,3.3575537197430814
2021-10-11T17:00:00,2688,374,3062,81044,84106,-702,1516,4486391,131335,,,4701832,95445947,34815383.0,18.0,4528481.0,173351.0,61203810.0,34242137.0,10.0,37.0,47.0,-749.0,2184.0,34.0,114776.0,26049.0,12.21,3.64,1.32,5.82,2.75,-0.83,3.1806992012960347
2021-10-12T17:00:00,2665,370,3035,79511,82546,-1560,2494,4490388,131384,,,4704318,95761232,34869229.0,21.0,4530578.0,173740.0,61308451.0,34452781.0,-4.0,-23.0,-27.0,-1533.0,3997.0,49.0,315285.0,53846.0,12.19,3.68,0.79,4.63,-1.07,-1.85,3.396896449142524
2021-10-13T17:00:00,2552,367,2919,77532,80451,-2095,2772,4495215,131421,,,4707087,96040177,34924726.0,19.0,4533143.0,173944.0,61428982.0,34611195.0,-3.0,-113.0,-116.0,-1979.0,4827.0,37.0,278945.0,55497.0,12.57,3.63,0.99,4.99,-0.81,-2.54,3.442793225939769
2021-10-14T17:00:00,2479,359,2838,76530,79368,-1083,2668,4498924,131461,,,4709753,96364791,34985613.0,22.0,4535597.0,174156.0,61540896.0,34823895.0,-8.0,-73.0,-81.0,-1002.0,3709.0,40.0,324614.0,60887.0,12.65,3.58,0.82,4.38,-2.18,-1.35,3.426185825244511
2021-10-15T17:00:00,2445,357,2802,75720,78522,-846,2732,4502457,131503,,,4712482,96870834,35086597.0,20.0,4538022.0,174460.0,61650555.0,35220279.0,-2.0,-34.0,-36.0,-810.0,3533.0,42.0,506043.0,100984.0,12.74,3.57,0.54,2.71,-0.56,-1.07,3.436480695009495
2021-10-16T17:00:00,2371,352,2723,75348,78071,-451,2983,4505876,131517,,,4715464,97343369,35176565.0,12.0,4540707.0,174757.0,61765276.0,35578093.0,-5.0,-74.0,-79.0,-372.0,3419.0,14.0,472535.0,89968.0,12.93,3.49,0.63,3.32,-1.4,-0.57,3.474653253362063
2021-10-17T17:00:00,2386,349,2735,74834,77569,-502,2437,4508789,131541,,,4717899,97724420,35237861.0,15.0,4543006.0,174893.0,61844834.0,35879586.0,-3.0,15.0,12.0,-514.0,2913.0,24.0,381051.0,61296.0,12.76,3.53,0.64,3.98,-0.85,-0.64,3.386855529184724
